,Importance
CorrSensor2Gyroy,0.0020695763016411765
CorrSensor2Gyrox,0.0026664316299424124
MeanSensor2Accy,0.0036414515447970508
MeanSensor2Gyrox,0.0046143136760471645
MinSensor2Accz,0.005264960327014346
MeanSensor1Gyroy,0.005411362407683683
CorrSensor2Accy,0.005960959717858896
MeanSensor2Accx,0.006087260624575458
VarSensor2Gyrox,0.006571165178638645
MinSensor2Accx,0.006930183424819035
MaxSensor2Gyrox,0.006949174717916181
MaxSensor2Accz,0.007594701933937754
VarSensor2Gyroz,0.008352174795831547
MinSensor2Gyrox,0.008449929675473866
CorrSensor1Gyroy,0.00850978389748777
CorrSensor2Accx,0.008665006847606927
MeanSensor2Accz,0.008918027073571685
MeanSensor1Accy,0.00923273995836804
MaxSensor2Accx,0.009327899526401916
MaxSensor2Gyroz,0.009409923871979205
VarSensor2Accx,0.010413663481639815
VarSensor2Accy,0.010512021748447016
CorrSensor2Accz,0.010647184776551752
CorrSensor1Accx,0.010785827966443498
VarSensor2Accz,0.011160828900161877
MeanSensor1Gyroz,0.011865234148988126
MinSensor2Gyroz,0.012334558547439995
CorrSensor1Gyrox,0.012849859672454715
CorrSensor2Gyroz,0.013155689010355772
CorrSensor1Accz,0.01326177871083593
MeanSensor2Gyroz,0.014038108569319536
MaxSensor2Accy,0.01453237055953108
MeanSensor1Gyrox,0.014691575263344064
MinSensor2Accy,0.014843086910373253
MaxSensor1Gyrox,0.015511042971472077
VarSensor1Accx,0.01563168249169401
MeanSensor1Accz,0.016353476564994283
VarSensor2Gyroy,0.016624971406100898
MinSensor1Gyrox,0.017794268877478675
MaxSensor1Gyroz,0.02042636190890395
MinSensor1Accy,0.0207348129378567
MaxSensor1Accx,0.020791301708839405
CorrSensor1Accy,0.021770710708888315
MaxSensor1Gyroy,0.022040937864021837
MinSensor1Accz,0.02287998263068577
MinSensor1Gyroy,0.026341985864498593
CorrSensor1Gyroz,0.026706859685076974
MaxSensor1Accz,0.026910180025590872
MeanSensor2Gyroy,0.028631071319400566
MinSensor1Gyroz,0.0287400203701515
VarSensor1Accz,0.03026175007801557
MaxSensor1Accy,0.030388551793968866
MaxSensor2Gyroy,0.030487160762376057
VarSensor1Gyroz,0.03277916104262445
MeanSensor1Accx,0.033368799649737574
VarSensor1Gyrox,0.033473758741332474
MinSensor1Accx,0.03506053066032346
VarSensor1Accy,0.03561922721409265
MinSensor2Gyroy,0.03778139001347812
VarSensor1Gyroy,0.04317118731091716
